,category,product_brand,product_name,date,quantity,price
173,RETIREES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,4/25/2019,2,7.6
174,NEW FAMILIES,Doritos,Doritos Mexicana    170g,3/4/2019,2,8.8
175,YOUNG SINGLES/FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,6/12/2019,2,13
176,YOUNG FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,9/12/2018,2,13
177,RETIREES,Kettle,Kettle Sensations   BBQ&Maple 150g,1/21/2019,2,9.2
178,YOUNG SINGLES/FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1/8/2019,2,7.6
179,RETIREES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,8/17/2018,1,4.6
180,OLDER SINGLES/FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,5/3/2019,2,13
181,OLDER FAMILIES,Grain,Grain Waves Sour    Cream&Chives 210G,2/11/2019,2,7.2
182,YOUNG FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,1/13/2019,2,9.2
183,YOUNG SINGLES/FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,5/23/2019,2,7.6
184,YOUNG FAMILIES,RRD,RRD Pc Sea Salt     165g,11/17/2018,2,6
185,OLDER SINGLES/FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,6/7/2019,2,7.6
186,RETIREES,Pringles,Pringles Slt Vingar 134g,8/5/2018,2,7.4
187,RETIREES,Pringles,Pringles Barbeque   134g,7/3/2018,2,7.4
188,OLDER FAMILIES,Pringles,Pringles Sweet&Spcy BBQ 134g,1/6/2019,2,7.4
189,OLDER FAMILIES,Tostitos,Tostitos Lightly    Salted 175g,1/19/2019,2,8.8
190,YOUNG SINGLES/FAMILIES,Pringles,Pringles Original   Crisps 134g,5/22/2019,1,3.7
191,OLDER SINGLES/FAMILIES,Pringles,Pringles Slt Vingar 134g,8/30/2018,2,7.4
192,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Original 170g,12/27/2018,2,8.8
193,OLDER SINGLES/FAMILIES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,5/10/2019,2,7.6
194,OLDER FAMILIES,Kettle,Kettle Tortilla ChpsBtroot&Ricotta 150g,2/5/2019,2,9.2
195,YOUNG SINGLES/FAMILIES,WOOLWORTHS,WW Supreme Cheese   Corn Chips 200g,10/30/2018,2,3.8
196,YOUNG FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,8/7/2018,2,8.8
197,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Sour Cream &OnionStacked Chips 160g,8/2/2018,1,1.9
198,OLDER SINGLES/FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,6/3/2019,2,7.6
199,YOUNG FAMILIES,Pringles,Pringles Barbeque   134g,10/24/2018,2,7.4
200,YOUNG SINGLES/FAMILIES,RRD,RRD Salt & Vinegar  165g,12/14/2018,2,6
201,OLDER SINGLES/FAMILIES,Cheetos,Cheetos Chs & Bacon Balls 190g,12/11/2018,2,6.6
202,OLDER FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,6/15/2019,2,7.6
203,OLDER FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,9/14/2018,2,7.6
204,YOUNG FAMILIES,WOOLWORTHS,WW Supreme Cheese   Corn Chips 200g,5/6/2019,2,3.8
205,MIDAGE FAMILIES,WOOLWORTHS,WW Crinkle Cut      Chicken 175g,2/13/2019,2,3.4
206,OLDER FAMILIES,Red,Red Rock Deli Sp    Salt & Truffle 150G,9/5/2018,2,5.4
207,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Original Corn    Chips 200g,6/21/2019,2,3.8
208,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,7/30/2018,2,8.8
209,OLDER FAMILIES,Woolworths,Woolworths Cheese   Rings 190g,7/12/2018,2,3.6
210,YOUNG FAMILIES,Doritos,Doritos Corn Chip Mexican Jalapeno 150g,3/30/2019,2,7.8
211,OLDER SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsBtroot&Ricotta 150g,5/5/2019,2,9.2
212,MIDAGE SINGLES/FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,10/13/2018,2,13
213,RETIREES,Doritos,Doritos Corn Chip Southern Chicken 150g,12/30/2018,2,7.8
214,OLDER SINGLES/FAMILIES,Doritos,Doritos Cheese      Supreme 330g,2/16/2019,2,11.4
215,OLDER SINGLES/FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,3/24/2019,2,7.6
216,RETIREES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,4/8/2019,2,7.6
217,OLDER FAMILIES,Grain,Grain Waves Sour    Cream&Chives 210G,5/11/2019,2,7.2
218,RETIREES,Cobs,Cobs Popd Sea Salt  Chips 110g,3/22/2019,2,7.6
219,YOUNG FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,12/7/2018,2,8.8
220,RETIREES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,11/18/2018,2,7.6
221,RETIREES,Pringles,Pringles Sthrn FriedChicken 134g,8/8/2018,2,7.4
222,YOUNG FAMILIES,WOOLWORTHS,WW Crinkle Cut      Chicken 175g,10/13/2018,2,3.4
223,OLDER SINGLES/FAMILIES,Kettle,Kettle Sea Salt     And Vinegar 175g,11/2/2018,2,10.8
224,OLDER SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,1/26/2019,2,9.2
225,RETIREES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,6/11/2019,2,7.6
226,MIDAGE FAMILIES,Kettle,Kettle Sea Salt     And Vinegar 175g,7/21/2018,2,10.8
227,YOUNG SINGLES/FAMILIES,Kettle,Kettle Original 175g,7/21/2018,1,5.4
228,YOUNG SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,5/16/2019,2,9.2
229,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Sour Cream &OnionStacked Chips 160g,8/13/2018,2,3.8
230,RETIREES,Pringles,Pringles Barbeque   134g,1/11/2019,1,3.7
231,YOUNG SINGLES/FAMILIES,Grain,Grain Waves Sour    Cream&Chives 210G,1/25/2019,2,7.2
232,OLDER FAMILIES,Infuzions,Infuzions Mango     Chutny Papadums 70g,12/2/2018,2,4.8
233,YOUNG SINGLES/FAMILIES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,11/11/2018,2,7.6
234,OLDER FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,3/2/2019,2,9.2
235,MIDAGE SINGLES/FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,9/16/2018,2,8.8
236,OLDER SINGLES/FAMILIES,Kettle,Kettle Sensations   BBQ&Maple 150g,6/24/2019,2,9.2
237,OLDER FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,3/10/2019,2,7.6
238,RETIREES,WOOLWORTHS,WW Original Corn    Chips 200g,1/2/2019,2,3.8
239,OLDER SINGLES/FAMILIES,Tostitos,Tostitos Lightly    Salted 175g,9/24/2018,2,8.8
240,YOUNG FAMILIES,Doritos,Doritos Mexicana    170g,8/26/2018,2,8.8
241,RETIREES,Pringles,Pringles Slt Vingar 134g,11/1/2018,2,7.4
242,OLDER SINGLES/FAMILIES,Kettle,Kettle 135g Swt Pot Sea Salt,11/25/2018,2,8.4
243,YOUNG FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,9/6/2018,2,13
244,MIDAGE SINGLES/FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,10/5/2018,2,7.6
245,RETIREES,Cobs,Cobs Popd Sea Salt  Chips 110g,2/27/2019,2,7.6
246,YOUNG SINGLES/FAMILIES,Infzns,Infzns Crn Crnchers Tangy Gcamole 110g,1/20/2019,2,7.6
247,RETIREES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,7/11/2018,2,9.2
248,RETIREES,Kettle,Kettle Sensations   Siracha Lime 150g,7/1/2018,2,9.2
249,OLDER SINGLES/FAMILIES,Doritos,Doritos Cheese      Supreme 330g,11/22/2018,2,11.4
250,YOUNG SINGLES/FAMILIES,RRD,RRD Salt & Vinegar  165g,12/13/2018,1,3
251,YOUNG SINGLES/FAMILIES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,6/25/2019,1,3.8
252,YOUNG SINGLES/FAMILIES,Kettle,Kettle Honey Soy    Chicken 175g,11/26/2018,2,10.8
253,RETIREES,Kettle,Kettle Sensations   Camembert & Fig 150g,3/7/2019,2,9.2
254,RETIREES,Kettle,Kettle Sensations   Camembert & Fig 150g,9/10/2018,2,9.2
255,MIDAGE FAMILIES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,11/10/2018,1,3.8
256,RETIREES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,10/16/2018,2,8.8
257,MIDAGE SINGLES/FAMILIES,Kettle,Kettle Sensations   Siracha Lime 150g,7/22/2018,2,9.2
258,OLDER FAMILIES,Kettle,Kettle Sweet Chilli And Sour Cream 175g,11/15/2018,2,10.8
259,YOUNG FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,11/28/2018,2,7.6
260,RETIREES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,9/22/2018,2,10.8
